#k (in units of 2pi/L(1,0,0))	e0pol_xx	e0pol_yy	e0pol_zz	e0ch
0	    52.893	    64.291	    61.606	    66.815
1	     2.134	    57.052	    49.200	     1.993
2	     2.790	    35.486	    40.453	     2.169
3	     4.211	    23.865	    23.619	     2.607
4	     7.921	    19.448	    18.488	     4.777
5	    15.567	    17.868	    17.542	    13.044
6	    27.111	    17.637	    18.021	    26.235
7	    26.901	    18.775	    19.207	    44.606
8	    18.317	    19.810	    19.521	    42.730
9	    14.762	    18.855	    18.344	    27.336
10	    15.504	    18.379	    19.490	    21.086
11	    18.970	    18.649	    19.054	    21.175
12	    22.863	    18.758	    19.760	    24.587
13	    20.571	    18.850	    19.435	    22.818
14	    18.617	    19.699	    19.207	    17.399
15	    17.590	    18.839	    20.644	    12.229
16	    17.822	    18.207	    18.399	    10.246
17	    20.890	    18.737	    19.451	     8.969
18	    21.719	    19.256	    19.592	     7.952
19	    19.643	    19.590	    19.733	     6.577
